houseHigh,totalPrice,title,region,year,houseType,houseElevator,area,station,types,houseFitment,houseDirection,line,totalHigh,unitPrice,houseArea,distance
中楼层,186,汇侨新城东区 楼梯两房,汇侨新城东区 ,2000, 2室1厅 , 无电梯,新市,,塔楼, 简装 , 东北 ,,9,24636, 75.5,
高楼层,350,时代玫瑰园 温馨三房 满五年 看房方便,时代玫瑰园 ,2004, 3室2厅 , 有电梯,白云大道北,黄边站,塔楼,其他, 西北 ,2号线,13,39155, 89.39,661米
高楼层,1000,天誉花园一期  交通便利 原始格局,天誉花园 ,1998, 5室2厅 , 有电梯,天河北,广州东站站,塔楼,其他, 北 ,1号线,31,39841, 251,563米
低楼层,328,华南碧桂园 翠云山 六米阳光,华南碧桂园翠云山 ,2001, 3室2厅 , 有电梯,华南,,塔楼, 精装 , 北 ,,18,29819, 110,
低楼层,355,豪景花园 采光好 格局方正,豪景花园 ,2007, 4室1厅 ,未知,粤垦,天平架站,塔楼, 精装, 北 ,6号线,19,33425, 106.21,861米
中楼层,620,新世界东逸花园 南向安静三房,新世界东逸花园 ,1999, 3室2厅 , 无电梯,天河公园,,塔楼, 简装 , 南 ,,9,62000, 100,
高楼层,1180,天河北 天誉华庭 南北对流 厅大房大,天誉华庭 ,2004, 4室2厅 , 有电梯,龙口西,岗顶站,塔楼, 精装 , 南 北 ,3号线,38,58126, 203.01,883米
中楼层,680,金田花苑二期 精装3房 户型方正,金田花苑 ,1997, 3室2厅 , 有电梯,天河北,,塔楼, 简装 , 北 ,,19,56667, 120,
中楼层,175,晓港中马路低楼层两房,晓港中马路 ,塔楼  , 2室1厅 ,未知,昌岗,晓港站, , 简装, 南 北 ,8号线,8,29900, 58.53,469米
高楼层,515,云裳丽影 方正三房 装修保养好,云裳丽影 ,2012, 3室2厅 ,未知,同和,北延段同和站,塔楼, 精装, 南 ,3号线,20,46297, 111.24,860米
中楼层,195,锦绣生态园 温馨两房证过五年 少税单位,锦绣生态园菁华轩 ,2001, 2室2厅 , 无电梯,钟村,,塔楼, 精装 , 南 ,,6,24224, 80.5,
高楼层,243,平，正，靓，一手至今没住过,祈福新村倚湖湾 ,2006, 2室2厅 , 有电梯,祈福,,塔楼, 精装 , 南 ,,33,32776, 74.14,
中楼层,550,广州雅居乐花园花巷 双阳台 四房,广州雅居乐花园花巷 ,2010, 4室2厅 , 无电梯,华南,,塔楼, 精装 , 南 北 ,,6,39008, 141,
高楼层,275,泰景花园  实用三房 安静不吵 交通便利,泰景花园文雅阁 ,2004, 3室2厅 ,未知,区府,大沙东站,塔楼, 简装, 西北 ,5号线,9,28611, 96.12,707米
高楼层,320,富力半岛花园 D区三房 望江,富力半岛花园 ,2003, 3室2厅 , 有电梯,罗冲围,,塔楼,其他, 西北 ,,27,35731, 89.56,
高楼层,205,凤凰城凤馨苑 精装两房 视野开阔,碧桂园凤凰城凤馨苑 ,2002, 2室2厅 ,未知,新塘,,塔楼,其他, 南 ,,6,24342, 84.22,
高楼层,490,白云高尔夫 3房 园林景观,白云高尔夫花园东区 ,2002, 4室2厅 ,未知,黄石路,,塔楼,其他, 南 ,,14,38985, 125.69,
高楼层,360,白云高尔夫花园 电梯高层 温馨三居室,白云高尔夫花园东区 ,2002, 3室2厅 ,未知,黄石路,,塔楼,其他, 东 ,,14,37118, 96.99,
高楼层,370,珠岛花园 五期 四房二厅 间隔方正实用,珠岛花园五期 ,1999, 4室2厅 , 有电梯,大坦沙,,塔楼,其他, 东 ,,23,34039, 108.7,
中楼层,590,太阳广场 精装大三房 安静舒适,太阳广场 ,1997, 3室2厅 ,未知,天润路,华师站,塔楼,其他, 西 ,3号线,18,59297, 99.5,884米
中楼层,270,映绿华庭 大三房户型方正 保养好拎包入住,富豪山庄映绿华庭 ,板楼  , 3室2厅 , 无电梯,祈福,, , 简装 , 南 北 ,,4,25281, 106.8,
低楼层,500,翠山蓝天苑 一楼带花园 户型方正,华南碧桂园翠山蓝天苑 ,2001, 4室2厅 , 有电梯,华南,,塔楼,其他, 东北 ,,8,29172, 171.4,
高楼层,420,翠山蓝天苑3房2卫带大阁楼 可望小蛮腰,华南碧桂园翠山蓝天苑 ,2001, 3室2厅 ,未知,华南,,塔楼,其他, 东北 ,,8,38533, 109,
中楼层,210,锦绣生态园 靓楼层 精致小三房出售,锦绣生态园倚翠苑 ,2001, 3室2厅 , 无电梯,钟村,,塔楼,其他, 西北 ,,6,25000, 84,
中楼层,310,自在城市花园 温馨三房 望花园单位,自在城市花园自在华庭 ,2004, 3室2厅 , 有电梯,华南,,塔楼, 精装 , 东北 ,,10,29623, 104.65,
高楼层,260,富力桃园E 视野开阔 环境舒适 中高楼层,富力桃园 ,2004, 2室2厅 , 有电梯,罗冲围,,塔楼,其他, 东南 ,,31,35617, 73,
中楼层,210,祈福新村 湖景居南向三房,祈福新村湖景居 ,1995, 3室2厅 ,未知,祈福,,板楼,其他, 南 ,,4,26250, 80,
高楼层,2200,协和新世界复式六房 南北向 双阳台 吉屋,协和新世界 ,2008, 6室2厅 ,未知,天河北,华师站,塔楼, 精装, 南 北 ,3号线,33,71922, 305.89,790米
高楼层,450,晓港湾 电梯高层 实用三房 观景靓,晓港湾惠侨苑 ,1999, 3室2厅 , 有电梯,金碧,东晓南站,塔楼,其他, 东北 ,2号线,23,43042, 104.55,69米
低楼层,485,富基广场 实用方正三房带主套,富基广场 ,2005, 3室2厅 ,未知,滨江中,,塔楼, 简装, 北 ,,34,45549, 106.48,
高楼层,195,大石富庭华园 温馨两房 望花园 带天台,富庭华园1街 ,2002, 3室2厅 , 无电梯,大石,大石站,塔楼,其他, 北 ,3号线,7,28098, 69.4,1140米
中楼层,320,华南碧桂园 装修保养好 望花园单位,华南碧桂园芳翠苑 ,2001, 3室2厅 , 无电梯,华南,,塔楼, 简装 , 北 ,,7,29907, 107,
中楼层,350,天河南 六运小区 低楼层 户型方正,六运小区六运二街 ,1993, 2室1厅 , 无电梯,天河南,离apm线天河南站,塔楼,其他, 东 ,,9,51471, 68,236米
低楼层,260,金麓山庄  户型方正 安静怡人,金麓山庄 ,2005, 2室2厅 , 有电梯,麓景,,塔楼, 精装 , 西北 ,,7,41936, 62,
高楼层,280,富力桃园 两房 楼层视野开阔 精致装修,富力桃园 ,2004, 2室2厅 , 有电梯,罗冲围,,塔楼, 精装 , 北 ,,30,32184, 87,
高楼层,650,金田花园 方正三房 带平台 龙口西**,金田花苑 ,1995, 3室2厅 , 无电梯,天河北,华师站,塔楼, 简装 , 东北 ,3号线,10,68422, 95,1118米
低楼层,275,万科新里程 精装三房 格局方正 交通便利,万科新里程 ,2009, 3室2厅 ,未知,科学城,金峰站,塔楼,其他, 北 ,6号线,25,31219, 88.09,951米
中楼层,385,城市假日园 温馨三房 安静舒适,城市假日园 ,2005, 3室2厅 , 有电梯,东圃,车陂站,塔楼, 精装 , 南 ,4号线,17,46191, 83.35,1045米
中楼层,189,丽江花园 星海洲 电梯 保养好,丽江花园星海洲 ,1999, 2室1厅 , 有电梯,南浦,,塔楼, 简装 , 西南 ,,25,28855, 65.5,
低楼层,200,大石富丽广场 方正三房 保养好 楼层适中,富丽家园富丽广场 ,1995, 3室2厅 , 无电梯,大石,大石站,塔楼,其他, 东南 ,3号线,6,22936, 87.2,1149米
中楼层,295,精装光猛 旺中带静 间隔方正实用,富力桃园 ,2004, 2室2厅 , 有电梯,罗冲围,,塔楼,其他, 西 ,,30,35457, 83.2,
中楼层,235,华南碧桂园 漾翠苑两房两厅 诚意出售,华南碧桂园漾翠苑 ,2001, 2室2厅 ,未知,华南,,塔楼, 精装, 西南 ,,7,29375, 80,
高楼层,300,富力天朗明居 实用两房 户型方正,富力天朗明居N区 ,2001, 2室1厅 , 有电梯,棠下,,塔楼,其他, 东 ,,22,48388, 62,
高楼层,355,荔港南湾 东南向三房 户型方正,荔港南湾A区 ,1999, 3室1厅 ,未知,南岸路,黄沙站,塔楼,其他, 东南 ,1号线,25,39445, 90,0米
低楼层,210,棠德花园 低楼层 东向 正规两房一厅,棠德花园B区 ,1997, 2室1厅 , 无电梯,棠下,,塔楼,其他, 东 ,,9,33092, 63.46,
中楼层,135,星海园 南向 小区管理 框架结构,星海园 ,1999, 2室2厅 ,未知,市桥,,塔楼,其他, 南 ,,7,17093, 78.98,
高楼层,238,华葆明苑 120方大三房 一梯两户通风,华葆明苑 ,2000, 3室2厅 ,未知,市桥,,塔楼,其他, 南 北 ,,7,19801, 120.2,
高楼层,330,侨源山庄 电梯三房两卫 环境优美舒适,侨源山庄雅侨楼 ,1998, 3室2厅 , 有电梯,粤垦,燕塘站,塔楼, 简装 , 东 ,6号线,9,38063, 86.7,917米
高楼层,770,美林海岸花园 复式三层7房 视野开阔通风,美林海岸花园翠堤湾畔 ,2004, 7室2厅 , 无电梯,员村,科韵路站,板楼, 简装 , 东南 ,5号线,6,49359, 156,1059米
高楼层,400,翡翠绿洲 高层复式单位 挑高9米可做,翡翠绿洲森林半岛 ,2011, 4室2厅 , 有电梯,新塘,,塔楼,其他, 南 北 ,,14,19324, 207,
中楼层,263,金丽园 厅出阳台 安静四房,金丽园 ,1997, 4室1厅 , 无电梯,区府,大沙东站,塔楼,其他, 北 ,5号线,9,26639, 98.73,1056米
中楼层,288,祈福水城 121方南向园景大三房 精装修,祈福水城 ,2008, 3室2厅 ,未知,沙湾,,塔楼,其他, 南 ,,11,23802, 121,
中楼层,450,城市假日园 高层大三房带主套,城市假日园 ,2007, 3室2厅 , 有电梯,东圃,车陂站,塔楼, 精装 , 北 ,4号线,18,46392, 97,1099米
中楼层,150,新世界嘉华苑  两房 装修保养好,新塘新世界花园嘉华苑 ,塔楼  , 2室2厅 ,未知,新塘,, ,其他, 北 ,,7,19737, 76,
中楼层,436.5,外语外贸学院 温馨三房 房改房 采光好,外语外贸学院 ,1995, 3室1厅 ,未知,白云大道北,,板楼, 简装, 南 ,,4,45000, 96.98,
高楼层,470,金碧花园三期 安静望花园 户型好 地铁口,金碧花园第三金碧 ,2000, 3室2厅 , 有电梯,金碧,,塔楼, 精装 , 北 ,,32,45193, 104,
高楼层,325,沙面公园小区 精装三房 随时可看,六二三路沙面北街 ,板楼  , 3室2厅 , 无电梯,黄沙,黄沙站, , 精装 , 南 北 ,1号线,8,37357, 87,516米
中楼层,290,天诚广场实用单间 龙口西路 户型好,天诚广场世纪华都 ,2001, 1室1厅 , 有电梯,天河北,华师站,塔楼, 简装 , 东 ,3号线,31,79780, 36.35,622米
高楼层,310,证满5年 金碧领秀 高层 视野开阔,金碧领秀国际 ,2007, 2室2厅 ,未知,区府,,塔楼, 简装, 北 ,,33,38534, 80.45,
中楼层,256,金燕花园 实用二房,金燕花园 ,1995, 2室2厅 , 无电梯,粤垦,燕塘站,塔楼,其他, 南 ,6号线,9,35556, 72,601米
低楼层,550,翠山蓝天苑4房3卫 一楼带花园及产权车位,华南碧桂园翠山蓝天苑 ,2001, 4室2厅 , 有电梯,华南,,塔楼, 简装 , 北 ,,8,32353, 170,
高楼层,490,海珠半岛花园 市区临江三房,海珠半岛花园 ,1997, 3室2厅 , 有电梯,滨江东,,塔楼, 精装 , 南 ,,31,54445, 90,
低楼层,255,龙光风景华庭三房南向望别墅，采光通风好,龙光峰景华庭 ,2009, 3室2厅 ,未知,科学城,,塔楼,其他, 南 ,,18,27637, 92.27,
高楼层,1300,珠江广场 水岸卫城 江景三阳台+大平台,珠江广场水岸卫城 ,塔楼  , 4室2厅 , 有电梯,滨江东,鹭江站, ,其他, 西北 ,8号线,31,62201, 209,958米
中楼层,450,法政路 三房出售,法政路 ,板楼  , 3室1厅 , 无电梯,小北,, ,其他, 东 ,,7,52942, 85,
高楼层,550,美林海岸花园 精装三房 保养好,美林海岸花园美林湾畔 ,2004, 3室2厅 ,未知,员村,科韵路站,塔楼, 精装, 西南 ,5号线,18,60794, 90.47,766米
中楼层,238,小北路  交通便利,小北路旧北园 ,塔楼  , 2室1厅 ,未知,小北,小北站, ,其他, 东 ,5号线,8,53628, 44.38,316米
中楼层,295,华南碧桂园 实用中层 三房二卫,华南碧桂园翡翠苑 ,2001, 3室2厅 , 无电梯,华南,,板楼,其他, 西北 ,,6,34303, 86,
中楼层,288,金燕花园 大三房,金燕花园燕翔楼 ,1999, 3室2厅 , 无电梯,粤垦,燕塘站,塔楼, 精装 , 西南 ,6号线,9,32510, 88.59,932米
中楼层,370,珠江新城 易丰大厦 安静东向2房,易丰大厦 ,2010, 2室1厅 , 有电梯,天河公园,,塔楼, 简装 , 东 ,,18,59476, 62.21,
中楼层,190,番禺海伦堡 花样年华二期 双证物业 三房,番禺海伦堡花样年华二期 ,2005, 3室2厅 ,未知,沙湾,,塔楼, 精装, 北 ,,17,34508, 55.06,
低楼层,158,祈福新村A区 实用大两房 保养新净,祈福新村A区 ,1995, 2室2厅 , 无电梯,祈福,,板楼,其他, 北 ,,3,22932, 68.9,
低楼层,355,顺景雅苑 园林小区两房 300米地铁站,顺景雅苑顺景居 ,2005, 2室2厅 ,未知,新港西,中大站,塔楼, 简装, 北 ,8号线,15,38900, 91.26,334米
中楼层,225,芳华花园 大两房 精装出售,芳华花园洛湖居 ,1999, 2室1厅 , 无电梯,洛溪,洛溪站,塔楼,其他, 北 ,2号线,7,31250, 72,1140米
低楼层,218,祈福新村 海晴居 温馨两房送花园,祈福新村海晴居 ,2003, 2室2厅 ,未知,祈福,,板楼, 简装, 北 ,,6,37848, 57.6,
高楼层,175,富力半岛 楼梯楼两房单位 东南向 通风好,富力半岛花园 ,1998, 2室1厅 ,未知,罗冲围,西场站,塔楼, 简装, 东南 ,5号线,7,27344, 64,0米
低楼层,230,精装三房 东北向,龙光峰景华庭 ,2009, 3室2厅 , 有电梯,科学城,,塔楼,其他, 东北 ,,18,24589, 93.54,
高楼层,813.8,名雅苑光明台六房 厅出阳台 采光通风好,名雅苑 ,1994, 6室2厅 ,未知,体育中心,石牌桥站,塔楼, 简装, 东南 ,3号线,24,65001, 125.19,715米
中楼层,125,德安新村 舒适两房 位置好,德安新村四巷 ,1993, 1室1厅 , 无电梯,市桥,番禺广场站,板楼,其他, 南 ,3号线,7,19291, 64.8,1190米
高楼层,380,天河北 瑞华大厦东向出阳台2房 户型方正,瑞华大厦 ,1998, 2室2厅 ,未知,天润路,华师站,塔楼, 简装, 东 ,3号线,30,49674, 76.5,336米
中楼层,215,莲花山高尔夫别墅 复式 宁静舒适,莲花山高尔夫别墅 ,塔楼  , 3室3厅 ,未知,石楼镇,, , 简装, 西南 ,,5,14090, 152.6,
低楼层,430,广州富力城 南向四房 户型方正,广州富力城 ,2006, 4室2厅 ,未知,黄石路,,塔楼, 简装, 南 ,,18,30695, 140.09,
中楼层,310,东海花园 望花园两房,东海花园 ,2003, 2室1厅 , 有电梯,洛溪,厦滘站,塔楼, 精装 , 南 ,3号线,24,39541, 78.4,713米
低楼层,285,保利林语山庄 精装修两房 采光通风好,保利林语山庄7区 ,塔楼  , 2室2厅 ,未知,科学城,金峰站, , 精装, 南 ,6号线,18,32945, 86.51,734米
中楼层,320,丰逸尚居 户型方正实用 采光通风好,丰逸尚居 ,2012, 3室2厅 , 有电梯,区府,文冲站,塔楼,其他, 北 ,5号线,29,28783, 111.18,639米
中楼层,480,塞纳宫 少有三房 详情点击更多房评,海珠花园塞纳宫园 ,2008, 3室2厅 ,未知,前进路,江南西站,塔楼, 精装, 东北 ,2号线,32,49959, 96.08,816米
中楼层,588,新世界东逸花园 方正3房 实用率92%,新世界东逸花园 ,1999, 3室2厅 , 无电梯,天河公园,,塔楼, 简装 , 北 ,,9,60000, 98,
高楼层,305,锦明街小区 方正三房 厅出阳台,黄埔大道中锦明街 ,1990, 3室1厅 , 无电梯,天河公园,科韵路站,塔楼, 简装 , 北 ,5号线,9,37507, 81.32,850米
中楼层,459,华南碧桂园翠云山  保养好 四房,华南碧桂园翠云山 ,2001, 4室2厅 , 有电梯,华南,,塔楼,其他, 北 ,,11,30000, 153,
高楼层,310,富力桃园D区 精致2房 温馨舒适,富力桃园 ,2004, 2室2厅 , 有电梯,罗冲围,,塔楼,其他, 东北 ,,30,36085, 85.91,
中楼层,570,华景新城  改善小三房 高层无遮挡,华景新城陶然庭园 ,2006, 3室2厅 , 有电梯,华景新城,,塔楼,其他, 南 ,,36,61291, 93,
低楼层,410,白云高尔夫花园  赠12㎡露台可用,白云高尔夫花园东区 ,2002, 3室2厅 , 有电梯,黄石路,,塔楼,其他, 东 西 ,,13,40635, 100.9,
高楼层,550,赛拉维 精装三房 户型方正 安静,赛拉维 ,2002, 3室2厅 , 有电梯,员村,,塔楼,其他, 东 西 ,,19,48566, 113.25,
中楼层,510,温馨三房 宜居岛式小区 中楼层,富力桃园 ,2004, 3室1厅 , 有电梯,罗冲围,,塔楼, 精装 , 南 ,,30,35665, 143,
低楼层,455,时代玫瑰园 三居室 安静望花园,时代玫瑰园 ,2004, 3室2厅 , 有电梯,白云大道北,黄边站,塔楼, 精装 , 南 ,2号线,13,40947, 111.12,683米
高楼层,650,琴海居 复式 北向望江 双阳台 户型方正,琴海居 ,2004, 3室2厅 , 有电梯,赤岗,广州塔站,塔楼, 精装 , 北 ,3号线,12,60811, 106.89,899米
高楼层,510,星河湾 实用三房 通风采光 间隔方正,广州星河湾朗心园 ,2001, 3室2厅 , 有电梯,华南,,塔楼,其他, 西南 ,,9,39689, 128.5,
高楼层,230,新装修 三房双卫 视野无遮挡,碧桂园凤凰城凤馨苑 ,2002, 3室2厅 ,未知,新塘,,塔楼, 简装, 北 ,,11,23712, 97,
高楼层,315,华江花园 方正两房 满五年 看房方便,华江花园 ,2003, 2室2厅 , 无电梯,天河公园,,塔楼, 精装 , 南 ,,9,45600, 69.08,
中楼层,230,中层大两房 可改3房 配套完善,赤岗一街大院赤岗一街 ,1990, 2室2厅 , 无电梯,赤岗,赤岗站,塔楼, 精装 , 北 ,8号线,9,33094, 69.5,1068米
中楼层,438,华天国际 实用2房 格局方正,华天国际广场 ,2001, 2室1厅 , 有电梯,龙口东,华师站,塔楼,其他, 西 ,3号线,30,56810, 77.1,319米
低楼层,260,属于中型社区，环境优美 ，出入方便,富景花园 ,1997, 2室1厅 ,未知,新港西,中大站,塔楼, 简装, 西南 ,8号线,11,38236, 68,359米
中楼层,408,丰盈居 北向大两房 户型方正 业主诚心售,丰盈居 ,2002, 2室2厅 , 有电梯,滨江东,,塔楼, 简装 , 北 ,,23,47223, 86.4,
低楼层,370,精致二房可改三房 户型方正,龙口东路 ,1995, 2室2厅 , 无电梯,天河北,华师站,塔楼, 简装 , 南 ,3号线,8,49832, 74.25,656米
中楼层,345,阳光假日园 精装两房 通风采光好,阳光假日园 ,2009, 2室1厅 , 有电梯,棠下,车陂站,塔楼,其他, 南 北 ,4号线,18,45896, 75.17,1087米
高楼层,339,广州富力城 经典复式 南北对流 装修好,广州富力城 ,2008, 3室2厅 ,未知,黄石路,,塔楼, 精装, 北 ,,12,36452, 93,
高楼层,900,保利花园 电梯复式4房 交通便利,保利花园保康路 ,2000, 4室2厅 , 有电梯,工业大道中,离广佛线燕岗站,塔楼, 精装 , 北 ,,11,50946, 176.66,919米
高楼层,362.4,洛湖居 复式 保养新,芳华花园洛湖居 ,1999, 5室2厅 , 无电梯,洛溪,洛溪站,塔楼, 简装 , 北 ,2号线,7,23969, 151.2,848米
低楼层,1600,珠江帝景 克莱公寓 高层东南向,珠江帝景苑克莱国际公寓灏景轩 ,2007, 5室2厅 , 有电梯,赤岗,猎德站,塔楼, 精装 , 南 ,5号线,31,63493, 252,0米
低楼层,470,保利百合 属于大型小区 房子保养好,保利百合花园雅园 ,2004, 3室2厅 , 有电梯,江燕路,离广佛线燕岗站,塔楼, 精装 , 西北 ,,11,46356, 101.39,687米
